"Wavelength (nm)","Spectral Radiance (uW/cm2-sr-nm)","Expanded Spectral Radiance Uncertainty k=2 (uW/cm2-sr-nm)","Expanded Spectral Radiance Uncertainty k=2 %","Spectral Radiance (W/m2-sr-nm)","Expanded Spectral Radiance Uncertainty k=2 (W/m2-sr-nm)"
541,31.51698264331,0.3846724299988,1.22052429432185,0.3151698264331,0.003846724299988
542,31.74168309845,0.3870465340442,1.21936361359206,0.3174168309845,0.003870465340442
543,31.96390376065,0.3885925097498,1.21572293753489,0.3196390376065,0.003885925097498
544,32.18137868062,0.3901320586264,1.21229131448412,0.3218137868062,0.003901320586264
545,32.39477657369,0.3934256152141,1.21447238359294,0.3239477657369,0.003934256152141
546,32.6048484801,0.3961535977999,1.21501438058112,0.326048484801,0.003961535977999
547,32.8196250662,0.4017496657424,1.22411412358318,0.328196250662,0.004017496657424
548,33.03947960447,0.4034563904144,1.22113421653232,0.3303947960447,0.004034563904144
549,33.26304793937,0.4056634320597,1.21956181766361,0.3326304793937,0.004056634320597
550,33.49539758126,0.4084521338389,1.21942763285013,0.3349539758126,0.004084521338389
551,33.72944656288,0.4116826593413,1.22054377196442,0.3372944656288,0.004116826593413
552,33.95614502216,0.4137262272597,1.21841341821841,0.3395614502216,0.004137262272597
553,34.1879027224,0.4149133586501,1.21362624089324,0.341879027224,0.004149133586501
554,34.42006954824,0.4171319435567,1.21188582426333,0.3442006954824,0.004171319435567
555,34.64615422909,0.4198742794048,1.21189288897254,0.3464615422909,0.004198742794048
556,34.87462781749,0.422797598524,1.2123358010776,0.3487462781749,0.00422797598524
557,35.1030082563,0.4082187659857,1.16291675917102,0.351030082563,0.004082187659857
558,35.32953451198,0.4104775295471,1.16185377253671,0.3532953451198,0.004104775295471
559,35.55738352681,0.4131046659649,1.16179714306994,0.3555738352681,0.004131046659649
560,35.78682715428,0.4154618537382,1.16093514506639,0.3578682715428,0.004154618537382
561,36.01815320653,0.4179238041757,1.16031436087048,0.3601815320653,0.004179238041757
562,36.2508951244,0.4206523897991,1.16039173199882,0.362508951244,0.004206523897991
563,36.48130480033,0.4230658840932,1.15967859814426,0.3648130480033,0.004230658840932
564,36.70863317761,0.4254355693768,1.1589523568431,0.3670863317761,0.004254355693768
565,36.94337372296,0.4280009868424,1.15853248826704,0.3694337372296,0.004280009868424
566,37.1801403441,0.4305673415663,1.15805733270887,0.371801403441,0.004305673415663
567,37.41612298076,0.4332703700882,1.15797772610218,0.3741612298076,0.004332703700882
568,37.6459226224,0.4359193470132,1.15794571270202,0.376459226224,0.004359193470132
569,37.874048551,0.4382668532357,1.15716927554112,0.37874048551,0.004382668532357
570,38.10163979043,0.4406437460875,1.15649549077459,0.3810163979043,0.004406437460875
571,38.32745095043,0.4430921640588,1.15607000484291,0.3832745095043,0.004430921640588
572,38.55594829119,0.4454801297218,1.15541219828742,0.3855594829119,0.004454801297218
573,38.78626705185,0.4479015012461,1.1547940425598,0.3878626705185,0.004479015012461
574,39.00915928612,0.4504670969241,1.15477263588293,0.3900915928612,0.004504670969241
575,39.23226969393,0.4526124436986,1.15367386906149,0.3923226969393,0.004526124436986
576,39.45621953239,0.4550374295154,1.15327173993914,0.3945621953239,0.004550374295154
577,39.67886939503,0.4574649428075,1.15291829072327,0.3967886939503,0.004574649428075
578,39.90613700523,0.4598567077531,1.15234583516022,0.3990613700523,0.004598567077531
579,40.13586547811,0.4625577429672,1.15247980193545,0.4013586547811,0.004625577429672
580,40.36138296631,0.4651452085429,1.152451116284,0.4036138296631,0.004651452085429
